Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Time_STD,Susceptible_STD
1658.11,13.218527716807197,0.0,632.51,100.82,7.606904758178584,130.0,10.62979186061515,0.0,0.16,5.882337970569186,108.4,0.0,0.18330302779823376
1661.54,13.115910185724816,0.0,635.06,98.17,7.380948448539657,131.0,10.652656945569962,0.0,0.15,5.883049804310686,105.08,0.0,0.1785357107135714
1664.39,12.926309411429079,0.0,637.44,96.29,7.109801333370716,132.0,10.65441692444969,0.0,0.15,5.935189550469304,101.73,0.0,0.1785357107135714
1667.49,12.990668766464644,0.0,639.81,93.8,7.069342260776455,133.0,10.58718446991456,0.0,0.14,5.654201977290871,98.76,0.0,0.17349351572897465
1670.31,12.942892837383766,0.0,642.12,91.61,6.790206182436584,134.0,10.586141884558318,0.0,0.14,5.647076677361483,95.82,0.0,0.17349351572897465
1673.56,12.965400109522266,0.0,644.48,89.15,6.8066346310052515,135.0,10.549995260662442,0.0,0.14,5.64153126376164,92.67,0.0,0.17349351572897465
1676.52,13.060911147389373,0.0,646.81,86.77,6.663377521947861,136.0,10.610536037354567,0.0,0.14,5.734045256186945,89.76,0.0,0.17349351572897465
1679.1,12.96524199542762,0.0,648.82,84.78,6.575226231849364,137.0,10.466943202291679,0.0,0.14,5.4339580417960525,87.16,0.0,0.17349351572897465
1682.25,12.952099250700638,0.0,650.79,82.29,6.5278078249899485,138.0,10.453778025192614,0.0,0.14,5.388086395001475,84.53,0.0,0.17349351572897465
1684.9,12.962156456392579,0.0,652.8,80.34,6.475484537855063,139.0,10.3788245962633,0.0,0.14,5.283568869618338,81.82,0.0,0.17349351572897465
1687.48,12.763518323722499,0.0,654.83,78.41,6.298420436903208,140.0,10.336840668211925,0.0,0.14,5.203409939645347,79.14,0.0,0.17349351572897465
1690.05,12.741345101675881,0.0,656.73,76.45,6.228771949590065,141.0,10.41629852682804,0.0,0.13,5.107531204016279,76.64,0.0,0.16815171720800223
1692.51,12.683945561220296,0.0,658.41,74.85,6.124089728277991,142.0,10.348452782904316,0.0,0.12,5.016161380976494,74.11,0.0,0.16248076809271933
1694.88,12.54278278533117,0.0,660.02,73.01,6.0076846621639515,143.0,10.303877910767383,0.0,0.12,4.837610463855063,71.97,0.0,0.16248076809271933
1697.19,12.521121155870985,0.0,661.87,71.07,5.9348020186018,144.0,10.21118381971454,0.0,0.12,4.891449171769037,69.75,0.0,0.16248076809271933
1699.52,12.490892682270548,0.0,663.38,69.49,5.756950147430497,145.0,10.157947627350714,0.0,0.12,5.0579121186513305,67.49,0.0,0.16248076809271933
1701.66,12.42300688239365,0.0,665.27,67.41,5.72338186739274,146.0,10.284419040470878,0.0,0.12,4.956357029109182,65.54,0.0,0.16248076809271933
1704.0,12.50059998560069,0.0,666.61,65.66,5.697760524978213,147.0,10.38193021552351,0.0,0.12,4.911832651872413,63.61,0.0,0.16248076809271933
1706.19,12.475314625291018,0.0,668.14,63.96,5.57319253211299,148.0,10.364608048546744,0.0,0.12,4.761260337347665,61.59,0.0,0.16248076809271933
1708.21,12.480644013831975,0.0,669.73,62.11,5.462167610024431,149.0,10.353708272884644,0.0,0.12,4.423174764804123,59.83,0.0,0.16248076809271933
